Symbol,1W Change %,1M Change %,3M Change %,6M Change %,1Y Change %,5Y Change %,Name,Category
0P0001O3TB,4.17,1.79,13.17,25.76,21.41,65.0,--,MF Gainers
0P00000C23,-1.59,6.93,2.23,-3.49,7.43,82.72,AXA IM Global Small Cap Eq QI B,MF Top Performing
0P00000C29,2.37,8.82,6.73,5.78,11.37,94.96,AXA IMAllCntryAPExJpnSmCpEq QI B (US$),MF Top Performing
0P00000CAQ,-0.75,0.74,9.27,-2.85,5.89,142.92,FSSA Indian Subcontinent I USD Acc,MF Top Performing
0P00000HSG,-2.51,1.78,-1.19,-6.56,7.65,22.01,Janus Henderson Glb Rl EstEqInc A2USD,MF Top Performing
0P00000HSM,-2.52,1.86,-0.9,-6.05,8.78,21.52,Janus Henderson Glb Rl EstEqInc I1qUSD,MF Top Performing
0P00000ICD,0.72,6.78,5.41,23.96,36.43,7.69,Jupiter China Equity Fund L USD Acc,MF Top Performing
0P00000IRU,-2.58,7.3,-3.72,-4.43,8.63,88.49,Janus Henderson US Forty I2 USD,MF Top Performing
0P00000IS9,-1.82,4.34,-1.13,-1.07,6.23,37.93,Janus Henderson Balanced B2 USD,MF Top Performing
0P00000ISG,-1.78,4.53,-0.62,-0.07,8.41,52.63,Janus Henderson Balanced I2 USD,MF Top Performing
0P00000MNK,-2.69,5.88,-2.81,-2.67,10.32,103.82,Vanguard U.S. 500 Stk Idx $ Acc,MF Top Performing
0P00000NMO,-2.19,2.8,-5.76,-10.71,0.42,97.59,FTGF CB US Value A USD Dis(A),MF Top Performing
0P00000OB6,-2.46,6.24,-4.73,-4.55,3.06,80.2,Vanguard US Opportunities Ins USD Acc,MF Top Performing
0P00000OB8,-2.46,6.23,-4.75,-4.6,2.96,79.31,Vanguard US Opportunities Inv USD Acc,MF Top Performing
0P00000RLL,0.78,10.56,5.95,2.51,12.58,48.79,Barings ASEAN Frontiers A USD Inc,MF Top Performing
0P00000RMH,0.25,5.74,9.27,18.43,10.04,67.09,Principal European Equity A Inc USD,MF Top Performing
0P00000RMI,0.24,5.73,9.28,18.42,10.04,68.57,Principal European Equity A Acc USD,MF Top Performing
0P00000RMJ,0.26,5.8,9.52,18.94,11.02,76.29,Principal European Equity I Acc USD,MF Top Performing
0P00000RMP,-1.79,4.44,-0.87,-0.57,7.31,45.06,Janus Henderson Balanced A2 USD,MF Top Performing
0P00000RMS,-2.03,10.94,0.39,0.12,9.08,89.46,Janus Henderson Glb Tech&Inno B2 USD,MF Top Performing
0P00000RNC,-2.69,5.88,-2.8,-2.67,10.32,103.82,Vanguard US 500 Stock Index Inv USD Acc,MF Top Performing
0P00000RNM,2.38,8.89,6.93,6.15,12.15,101.94,AXA IMAllCntryAPExJpnSmCpEq QI A(US$),MF Top Performing
0P00000RNN,-1.49,6.93,0.52,0.34,9.96,87.78,AXA IM Global Equity QI A(US$),MF Top Performing
0P00000RNO,-1.57,7.01,2.4,-3.16,8.17,89.23,AXA IM Global Small Cap Eq QI A(US$),MF Top Performing
0P00000RPL,-1.83,-4.65,-11.37,-13.2,-10.54,23.23,Janus Henderson Glb Life Scn A2 USD,MF Top Performing
0P00000RPM,-1.99,11.01,0.63,0.63,10.2,99.17,Janus Henderson Glb Tech&Inno A2 USD,MF Top Performing
0P00000RQA,-0.02,5.7,8.29,18.09,12.47,86.41,Vanguard European Stock Idx USD Acc,MF Top Performing
0P00000RQB,-1.82,5.98,-0.12,1.31,11.28,93.38,Vanguard Global Stock Index Inv USD Acc,MF Top Performing
0P00000RQD,-1.83,5.98,-0.12,1.31,11.28,93.38,Vanguard Glb Stk Idx $ Acc,MF Top Performing
0P00000T4W,-2.52,1.77,-1.17,-6.55,7.62,21.19,Janus Global Rel Est A USD,MF Top Performing
0P00000UJD,-0.38,1.7,-0.05,1.57,7.8,25.04,PIMCO GIS US Hi Yld Bd Inv USD Acc,MF Top Performing
0P00000VK6,-0.49,-0.8,-0.31,0.88,5.27,-2.69,PIMCO GIS Ttl Ret Bd Instl USD Acc,MF Top Performing
0P00000WBE,-0.37,-1.07,-0.88,-0.51,1.57,-2.11,PIMCO GIS Glb Rl Ret Inv USD Acc,MF Top Performing
0P00000WBF,-0.35,-1.03,-0.78,-0.35,1.91,-0.43,PIMCO GIS Glb Rl Ret Instl USD Acc,MF Top Performing
0P00000WUL,1.49,9.23,-1.44,15.93,14.21,16.31,Value Partners Classic B USD,MF Top Performing
0P00000X72,0.24,7.87,5.21,10.89,10.0,47.25,Emerging World Inst,MF Top Performing
0P00000XX2,-0.31,0.95,-0.54,1.0,6.28,31.11,Principal Glbl High Yield I Acc USD,MF Top Performing
0P00000YAP,0.79,7.57,3.43,7.8,11.42,31.01,JPMorgan Pacific Sec (acc) - USD,MF Top Performing
0P00000YD6,0.15,7.36,10.3,19.47,16.99,140.7,Brandes European Value A USD,MF Top Performing
0P00000YD9,0.17,7.43,10.55,19.96,18.02,150.1,Brandes European Value I USD,MF Top Performing
0P00000YDC,-1.73,4.69,1.67,4.48,9.82,116.61,Brandes Global Value A USD Acc,MF Top Performing
0P00000YDF,-1.72,4.77,1.88,4.89,10.43,120.17,Brandes Global Value I USD Acc,MF Top Performing
0P00000ZE0,-0.36,-1.03,-0.85,-0.4,1.74,-1.25,PIMCO GIS Global Real Return Fund H Institutional USD Accumulation,MF Top Performing
0P00000ZE7,-0.37,1.73,0.0,1.66,7.98,26.15,PIMCO GIS US High Yield Bond Fund H Institutional USD Accumulation,MF Top Performing
0P00000ZF0,-0.51,-0.8,-0.35,0.78,5.08,-3.48,PIMCO GIS Total Return Bond Fund H Institutional USD Accumulation,MF Top Performing
0P000010PE,0.38,7.51,13.84,19.6,13.21,82.25,Dimensional European Small Companies Fund USD Accumulation,MF Top Performing
0P000010PL,0.51,4.7,5.09,7.57,9.28,42.74,Dimensional Pacific Basin Small Companies Fund USD Accumulation,MF Top Performing
0P000011NM,-0.53,-0.79,-0.28,0.87,5.29,-9.7,PIMCO GIS Total Return Bond Fund Institutional USD Income,MF Top Performing
0P000013EG,-0.5,9.69,1.74,2.87,14.49,98.38,Jupiter Merian World Equity Fund B USD Acc,MF Top Performing
0P000013GL,0.71,6.69,5.14,23.29,34.93,2.05,Jupiter China Equity Fund B USD Acc,MF Top Performing
0P000014FB,1.52,5.78,5.15,9.42,10.64,50.71,iShares Japan Index Fund (IE) Flexible Acc USD,MF Top Performing
0P000014FE,0.7,7.34,5.28,4.57,14.33,58.2,iShares Pacific Index Fund (IE) Flexible Acc USD,MF Top Performing
0P000015HL,0.03,0.61,1.0,2.63,6.52,22.35,Muzinich Enhancedyield Short-Term Fund Hedged USD Accumulation A Units,MF Top Performing
0P000015K8,-3.32,4.83,-5.41,-14.34,-0.32,85.8,Dimensional U.S. Small Companies Fund USD Accumulation,MF Top Performing
0P0000187T,0.25,1.47,2.13,4.0,8.68,13.94,Payden Global Emerging Markets Bond Fund USD (Accumulating),MF Top Performing
0P0000187W,-0.33,0.94,0.21,2.02,7.6,37.38,Payden Global High Yield Bond Fund USD (Accumulating),MF Top Performing
0P000018HA,0.06,7.97,-1.33,6.97,5.76,16.72,FSSA Greater China Growth Fund Class I (Accumulation) USD,MF Top Performing
0P00001BHA,-0.01,5.91,0.66,-9.52,4.89,3.01,JPMorgan Thailand (acc) - USD,MF Top Performing
0P00001BIN,1.22,8.64,5.22,2.41,5.2,56.76,JPMorgan Asian Smlr Coms (acc) - USD,MF Top Performing
0P00001BJE,1.33,8.33,6.62,3.17,13.94,50.33,FSSA ASEAN All Cap I USD Acc,MF Top Performing
0P00001BQ3,0.46,6.37,0.25,9.93,7.07,1.6,FSSA China Growth II USD Acc,MF Top Performing
0P00001BQK,-0.75,0.75,9.31,-2.82,6.01,145.62,FSSA Indian Subcontinent II USD Acc,MF Top Performing
0P00001DS4,-0.89,3.42,-1.16,-0.65,5.72,41.24,JPMorgan Evergreen,MF Top Performing
0P00001EVJ,-2.73,6.08,-2.85,-4.09,10.99,102.97,PineBridge US Large Cap Research Enhnd Y,MF Top Performing
0P00001SNB,-0.43,1.15,-0.14,1.63,8.58,33.22,SEI GMF Hi Yld Fxd Inc USD Instl Acc,MF Top Performing
0P00001T1G,-1.72,5.12,0.67,1.0,9.91,106.24,SEI GMF Global Equity USD Instl Acc,MF Top Performing
0P00001T82,-0.38,-0.86,-0.14,0.39,4.67,-3.61,SEI GMF US Fixed Inc USD Instl Acc,MF Top Performing
0P00001W1W,-1.79,4.44,-0.9,-0.61,7.27,44.31,Janus Balanced A USD,MF Top Performing
0P00001W5H,0.49,-0.24,3.99,4.72,6.84,-10.28,SEI GMF Global Fxd Inc USD Instl Acc,MF Top Performing
0P00001WGX,0.49,8.12,5.47,10.96,14.12,42.81,SEI GMF Emerg Markets Eq USD Instl Inc,MF Top Performing
0P00001WH0,0.54,8.16,5.48,11.02,14.14,53.86,SEI GMF Emerg Markets Eq USD Instl Acc,MF Top Performing
0P00001WKG,-0.32,-1.02,-0.8,-0.32,1.95,-12.04,PIMCO GIS Glb Rl Ret Instl USD Inc,MF Top Performing
0P00001WLU,0.21,2.0,2.35,4.82,8.87,15.29,SEI GMF Emerg Mkts Dbt USD Instl Acc,MF Top Performing
0P00001WMR,1.22,7.8,11.72,17.92,18.76,91.43,SEI GMF UK Equity USD Instl Acc,MF Top Performing
0P00001ZJA,-1.68,5.17,0.7,1.0,9.92,93.27,SEI GMF Global Equity USD Instl Inc,MF Top Performing
0P00001ZKA,-0.99,6.85,1.77,-3.05,7.49,95.08,SEI GMF Small Cap Sel USD Instl Acc,MF Top Performing
0P0000202Z,-0.98,6.87,1.77,-3.04,7.48,87.75,SEI GMF Small Cap Sel USD Instl Inc,MF Top Performing
0P000023E0,-0.37,4.94,3.83,10.67,4.11,79.55,GAM Star European Equity Ord USD Acc,MF Top Performing
0P000023E1,-0.37,4.94,3.83,10.67,4.11,75.38,GAM Star European Equity Ord USD Inc,MF Top Performing
0P000023OZ,1.03,8.95,4.55,8.0,13.76,85.41,Ninety One Global Strategic Eq A Acc USD,MF Top Performing
0P00002448,-0.11,-0.5,0.68,1.19,5.0,-0.94,SEI GMF Global Fxd Inc H USD Instl Acc,MF Top Performing
0P000024Y2,-0.15,1.37,1.45,2.68,7.4,18.68,Cabei Central American Acc,MF Top Performing
0P0000258N,0.08,0.38,1.09,2.22,4.86,14.6,BlackRock ICS USD Liquidity Core Acc,MF Top Performing
0P000025ZS,-0.16,0.1,0.56,1.49,6.1,5.3,New Capital Glbl Val Crdt USD Ord Acc,MF Top Performing
0P000026CE,0.36,0.03,2.96,3.8,6.62,-7.14,Wellington Global Bond USD S Ac,MF Top Performing
0P000026CF,-1.56,-2.76,-10.37,-12.86,-13.75,8.28,Wellington Global Hlthcr Eq USD G Ac,MF Top Performing
0P000029IH,0.65,4.64,6.91,8.13,15.1,53.75,PineBridge Japan Equity Y,MF Top Performing
0P00002CGU,0.44,5.44,8.35,15.1,21.84,75.82,Veritas Global Equity Income B USD,MF Top Performing
0P00005VON,-1.84,4.31,-0.12,2.34,6.99,106.98,Pzena Global Focused Value A USD Acc,MF Top Performing
0P00005XSH,-0.22,1.61,0.19,2.03,7.61,27.22,PIMCO GIS Glb Hi Yld Bd Instl USD Acc,MF Top Performing
0P00006OKD,-2.2,6.03,-2.34,-2.49,11.15,103.86,iShares North America Idx (IE) Flex Acc$,MF Top Performing
0P00007VNS,0.69,7.69,4.32,8.08,11.06,55.38,AXA IM Global EM Eq QI A(USD),MF Top Performing
0P00007VNU,0.7,7.61,4.18,7.73,10.38,50.48,AXA IM Global EM Eq QI B(USD),MF Top Performing
0P00008E99,0.2,6.77,2.27,13.0,11.8,6.11,FSSA Hong Kong Growth I USD Acc,MF Top Performing
0P00008MLX,-0.41,7.76,1.99,4.56,10.93,91.57,Waverton Global Equity A USD,MF Top Performing
0P00008MM1,-0.4,7.8,2.11,4.81,11.47,97.33,Waverton Global Equity B USD,MF Top Performing
0P00008SS4,0.72,9.52,5.56,3.24,6.47,84.39,JPMorgan SAR Asian - A acc - USD,MF Top Performing
0P00008T2I,-2.2,2.8,-5.77,-10.71,0.42,97.6,FTGF CB US Value A USD Acc,MF Top Performing
0P00008VB6,1.63,6.26,6.54,10.34,10.06,53.18,JPMorgan SAR Japan - A acc - USD,MF Top Performing
0P00008VOQ,0.57,7.8,2.33,6.13,10.82,44.27,Waverton Asia Pacific A USD,MF Top Performing
0P000099K6,1.49,9.28,-1.32,16.22,14.78,18.98,Value Partners Classic A USD,MF Top Performing
MFLLX,0.0,6.28,-1.5,-4.87,41.14,53.83,Morgan Stanley Inst Inception R6,MF Best Historical
MSSGX,0.0,6.22,-1.52,-4.87,41.03,53.55,Morgan Stanley Inst Inception I,MF Best Historical
MSSMX,0.0,6.19,-1.53,-4.99,40.6,50.72,Morgan Stanley Inst Inception A,MF Best Historical
BPTIX,-1.98,13.16,0.2,4.1,39.03,219.56,Baron Partners Institutional,MF Best Historical
BPTUX,-1.98,13.16,0.2,4.1,39.03,219.5,Baron Partners R6,MF Best Historical
BPTRX,-1.98,13.14,0.14,3.98,38.68,215.52,Baron Partners Retail,MF Best Historical
MSSLX,0.0,6.06,-1.75,-5.31,39.77,46.16,Morgan Stanley Inst Inception L,MF Best Historical
ADNIX,-2.52,12.03,-4.92,-1.4,26.72,-8.43,American Beacon ARK Transfmt Innov R5,MF Best Historical
MSCOX,0.0,6.11,-1.78,-5.37,39.57,44.81,Morgan Stanley Inst Inception C,MF Best Historical
ADNYX,-2.6,11.98,-5.02,-1.48,26.59,-8.85,American Beacon ARK Transfmt Innov Y,MF Best Historical
ADNPX,-2.59,11.92,-5.06,-1.57,26.32,-9.95,American Beacon ARK Transfmt Innov Inv,MF Best Historical
ADNAX,-2.54,11.96,-5.01,-1.58,26.31,-10.13,American Beacon ARK Transfmt Innov A,MF Best Historical
ADNCX,-2.59,11.87,-5.23,-1.98,25.28,-13.5,American Beacon ARK Transfmt Innov C,MF Best Historical
ZVGIX,-2.09,17.21,4.19,-1.33,33.41,82.58,Zevenbergen Genea Institutional,MF Best Historical
ZVGNX,-2.11,17.16,4.11,-1.48,33.01,79.85,Zevenbergen Genea Investor,MF Best Historical
MMCGX,-0.37,14.07,6.71,4.26,57.59,32.36,Morgan Stanley Inst Discovery R6,MF Best Historical
MPEGX,-0.38,13.99,6.66,4.14,57.35,31.58,Morgan Stanley Inst Discovery I,MF Best Historical
MACGX,-0.37,13.99,6.61,4.0,56.91,29.53,Morgan Stanley Institutional Fund Trust Discovery Portfolio,MF Best Historical
MSKLX,-0.41,13.85,6.38,3.72,56.05,25.98,Morgan Stanley Inst Discovery L,MF Best Historical
MSMFX,-0.41,13.93,6.39,3.65,55.7,24.64,Morgan Stanley Inst Discovery C,MF Best Historical
BGGKX,-2.34,11.54,-2.51,-2.09,25.8,46.31,Baillie Gifford U.S. Equity Growth Fund,MF Best Historical
BGGSX,-2.35,11.53,-2.56,-2.14,25.66,45.62,Baillie Gifford US Equity Growth I,MF Best Historical
ZVNIX,-2.27,15.98,5.46,-0.94,26.54,58.5,Advisor Managed Portfolios - Zevenbergen Growth Fund,MF Best Historical
ZVNBX,-2.28,15.97,5.39,-1.07,26.19,56.13,Zevenbergen Growth Investor,MF Best Historical
JAMFX,-3.93,10.55,-5.48,-2.0,20.53,39.76,Jacob Internet Fund,MF Best Historical
BFGUX,-2.29,9.0,0.16,3.12,30.9,198.38,Baron Focused Growth Fund,MF Best Historical
BFGIX,-2.29,9.01,0.16,3.1,30.9,198.34,Baron Focused Growth Fund,MF Best Historical
BFGFX,-2.3,8.96,0.08,2.97,30.52,194.41,Baron Focused Growth Fund,MF Best Historical
SCATX,-2.26,16.26,5.51,-0.88,27.19,57.41,Virtus Zevenbergen Innovative Gr Stk I,MF Best Historical
SAGAX,-2.27,16.22,5.43,-1.0,26.85,55.48,Virtus Zevenbergen Innovative Gr Stk A,MF Best Historical
MCRTX,-0.79,12.22,1.79,1.65,60.38,39.98,Morgan Stanley Insight Fund,MF Best Historical
CPODX,-0.78,12.21,1.77,1.63,60.3,39.38,Morgan Stanley Insight I,MF Best Historical
CPOAX,-0.81,12.19,1.7,1.51,59.87,37.87,Morgan Stanley Insight A,MF Best Historical
MGRPX,-1.01,14.42,2.63,3.94,61.56,53.16,Morgan Stanley Inst Growth R6,MF Best Historical
MGHRX,-1.01,14.4,2.63,3.93,61.64,52.76,Morgan Stanley Inst Growth IR,MF Best Historical
MSEQX,-1.01,14.38,2.59,3.88,61.44,52.49,Morgan Stanley Inst Growth I,MF Best Historical
MSEGX,-1.02,14.36,2.54,3.75,61.02,50.57,Morgan Stanley Inst Growth A,MF Best Historical
CPOCX,-0.78,12.15,1.59,1.26,59.14,36.4,Morgan Stanley Insight L,MF Best Historical
MSCMX,-0.84,12.15,1.52,1.12,58.82,34.86,Morgan Stanley Insight C,MF Best Historical
MSHLX,-1.01,14.33,2.42,3.5,60.24,46.95,Morgan Stanley Inst Growth L,MF Best Historical
NEXTX,-2.47,9.04,-1.28,-9.06,-6.52,55.26,Shelton Sustainable Equity Investor,MF Best Historical
